WindProtectionFacility,lod1MultiSurface//surfaceMember,2
FireProtectionFacility,lod1MultiSurface//surfaceMember,2
TideFacility,lod1MultiSurface//surfaceMember,2
FloodPreventionFacility,lod1MultiSurface//surfaceMember,2
SnowProtectionFacility,lod1MultiSurface//surfaceMember,2
SandProtectionFacility,lod1MultiSurface//surfaceMember,2
UrbanDevelopmentProject,lod1MultiSurface//surfaceMember,2
LandReadjustmentProject,lod1MultiSurface//surfaceMember,2
NewHousingAndUrbanDevelopmentProject,lod1MultiSurface//surfaceMember,2
IndustrialParkDevelopmentProject,lod1MultiSurface//surfaceMember,2
UrbanRedevelopmentProject,lod1MultiSurface//surfaceMember,2
NewUrbanInfrastructureProject,lod1MultiSurface//surfaceMember,2
ResidentialBlockConstructionProject,lod1MultiSurface//surfaceMember,2
DisasterPreventionBlockImprovementProject,lod1MultiSurface//surfaceMember,2
UrbanRenewalProject,lod1MultiSurface//surfaceMember,2
ScheduledAreaForUrbanDevelopmentProject,lod1MultiSurface//surfaceMember,2
ScheduledAreaForNewHousingAndUrbanDevelopmentProjects,lod1MultiSurface//surfaceMember,2
ScheduledAreaForIndustrialParkDevelopmentProjects,lod1MultiSurface//surfaceMember,2
ScheduledAreaForNewUrbanInfrastructureProjects,lod1MultiSurface//surfaceMember,2
ScheduledAreaForCollectiveHousingFacilities,lod1MultiSurface//surfaceMember,2
ScheduledAreaForCollectiveGovernmentAndPublicOfficeFacilities,lod1MultiSurface//surfaceMember,2
ScheduledAreaForDistributionBusinessPark,lod1MultiSurface//surfaceMember,2
DistrictPlan,lod1MultiSurface//surfaceMember,2
RoadsideDistrictPlan,lod1MultiSurface//surfaceMember,2
RuralDistrictPlan,lod1MultiSurface//surfaceMember,2
HistoricSceneryMaintenanceAndImprovementDistrictPlan,lod1MultiSurface//surfaceMember,2
DisasterPreventionBlockImprovementZonePlan,lod1MultiSurface//surfaceMember,2
DistrictDevelopmentPlan,lod1MultiSurface//surfaceMember,2
SpecifiedBuildingZoneImprovementPlan,lod1MultiSurface//surfaceMember,2
DistrictImprovementPlanForDisasterPreventionBlockImprovementZonePlan,lod1MultiSurface//surfaceMember,2
RoadsideDistrictImprovementPlan,lod1MultiSurface//surfaceMember,2
RuralDistrictImprovementPlan,lod1MultiSurface//surfaceMember,2
DistrictImprovementPlanForHistoricSceneryMaintenanceAndImprovementDistrict,lod1MultiSurface//surfaceMember,2
PromotionDistrict,lod1MultiSurface//surfaceMember,2
District,lod1MultiSurface//surfaceMember,2
DistrictFacility,lod1MultiSurface//surfaceMember,2
RuralDistrictFacility,lod1MultiSurface//surfaceMember,2
RoadsideDistrictFacility,lod1MultiSurface//surfaceMember,2
ZonalDisasterPreventionFacility,lod1MultiSurface//surfaceMember,2
SedimentDisasterProneArea,lod1MultiSurface//surfaceMember,2
ReliefFeature,reliefComponent//trianglePatches,3
