PLATEAU_3D-Spatial-ID_CSV,0100,23,1
gml_id,spatial_id
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/21/7478965/3246549
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478965/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/16/7478964/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/14/7478964/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/21/7478964/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478959/3246549
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478964/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/15/7478961/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478959/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478968/3246549
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478963/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478962/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478967/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478966/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478966/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478961/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478971/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478963/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478968/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478970/3246551
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/8/7478965/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/18/7478962/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478968/3246549
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478966/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/8/7478970/3246551
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478967/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478962/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478967/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,22/4/3739486/1623272
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478966/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,22/4/3739484/1623274
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/13/7478964/3246549
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/15/7478963/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/19/7478962/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478968/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/13/7478962/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478964/3246549
